__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2]
1778751617.480758,0.006205869,-0.000534532,0.000555346,0.000015221,0.000015171,0.000584939,1.000000000,1.020958900,0.028356610,-2.517468452,0.011377451,0.011379722,0.027093250,0.999999940,-0.000299691,0.000217067,0.000068041,0.000000000,12.000000000,1778751617404731.000000000,1778751617400731.000000000,-0.034184664,-0.036707472,0.016152456,1.000000000,0.003769148,0.003772458,0.002894149
1778751617.491432,0.005746147,-0.001547912,0.000355567,0.000015269,0.000015219,0.000585188,1.000000000,1.020775318,0.027882110,-2.517593145,0.011503240,0.011505620,0.027264439,0.999999940,-0.000254307,0.000205262,0.000071891,0.000000000,12.000000000,1778751617420731.000000000,1778751617416731.000000000,-0.033917218,-0.036667574,0.016121116,1.000000000,0.003822428,0.003825667,0.002910690
1778751617.506599,0.006356036,-0.000754496,0.001165928,0.000015293,0.000015243,0.000585312,1.000000000,1.020679355,0.027642753,-2.517647266,0.011567011,0.011569446,0.027350601,0.999999940,-0.000228506,0.000200672,0.000076951,0.000000000,12.000000000,1778751617428731.000000000,1778751617424731.000000000,-0.033802439,-0.036638781,0.016123323,1.000000000,0.003849249,0.003852447,0.002918961
1778751617.513698,0.006742302,0.000917744,0.000346698,0.000015215,0.000015165,0.000585418,1.000000000,1.020574450,0.027424037,-2.517719269,0.011369701,0.011371956,0.027121997,0.999999940,-0.000201172,0.000202788,0.000078733,0.000000000,12.000000000,1778751617436731.000000000,1778751617432731.000000000,-0.033626903,-0.036655389,0.016179586,1.000000000,0.003765509,0.003768499,0.002894575
1778751617.524380,0.006431998,0.000833926,-0.000443457,0.000015240,0.000015189,0.000585543,1.000000000,1.020467281,0.027203331,-2.517784834,0.011432233,0.011434540,0.027207479,0.999999940,-0.000174890,0.000204590,0.000077293,0.000000000,12.000000000,1778751617444731.000000000,1778751617440731.000000000,-0.033499397,-0.036599547,0.016204638,1.000000000,0.003792054,0.003795017,0.002902845
1778751617.536515,0.006868953,0.001517130,-0.000165041,0.000015264,0.000015213,0.000585668,1.000000000,1.020357490,0.026981071,-2.517869473,0.011495344,0.011497705,0.027233165,1.000000000,-0.000146870,0.000209143,0.000076965,0.000000000,12.000000000,1778751617452731.000000000,1778751617448731.000000000,-0.033421744,-0.036515329,0.016249062,1.000000000,0.003818727,0.003821662,0.002908779
1778751617.549505,0.006454973,0.000805812,-0.000662601,0.000015210,0.000015159,0.000585900,1.000000000,1.020111918,0.026557889,-2.518047094,0.011362104,0.011364343,0.027091239,1.000000000,-0.000094847,0.000214468,0.000071995,0.000000000,12.000000000,1778751617468731.000000000,1778751617464731.000000000,-0.033292722,-0.036274586,0.016349273,1.000000000,0.003762001,0.003764712,0.002892719
1778751617.557847,0.006551325,-0.000277698,-0.000465498,0.000015235,0.000015183,0.000586025,1.000000000,1.019976974,0.026356090,-2.518140078,0.011424565,0.011426854,0.027176611,1.000000000,-0.000067891,0.000212066,0.000070352,0.000000000,12.000000000,1778751617476731.000000000,1778751617472731.000000000,-0.033193272,-0.036286160,0.016390158,1.000000000,0.003788541,0.003791221,0.002900988
1778751617.565066,0.006860901,-0.000176360,-0.000058885,0.000015259,0.000015207,0.000586150,1.000000000,1.019839883,0.026152052,-2.518225908,0.011487606,0.011489945,0.027262360,1.000000000,-0.000039707,0.000210092,0.000070333,0.000000000,12.000000000,1778751617488731.000000000,1778751617480731.000000000,-0.033110384,-0.036214065,0.016463077,1.000000000,0.003815187,0.003817835,0.002909258
1778751617.577026,0.004548024,-0.000405344,-0.000488305,0.000015283,0.000015231,0.000586275,1.000000000,1.019700646,0.025946030,-2.518304825,0.011551231,0.011553622,0.027348489,1.000000000,-0.000020785,0.000207225,0.000068598,0.000000000,12.000000000,1778751617496731.000000000,1778751617488731.000000000,-0.033049181,-0.036163706,0.016510440,1.000000000,0.003841976,0.003844591,0.002917530
1778751617.909646,0.003804030,0.000207157,-0.000060086,0.000015273,0.000015220,0.000587246,1.000000000,1.018424034,0.024428617,-2.518911600,0.011536076,0.011538422,0.027286105,1.000000000,0.000106792,0.000191073,0.000064095,0.000000000,12.000000000,1778751617560731.000000000,1778751617552731.000000000,-0.032370120,-0.035298333,0.016754285,1.000000000,0.003835212,0.003837335,0.002913828
1778751617.909722,0.004004528,0.000751537,-0.000258553,0.000015196,0.000015143,0.000587357,1.000000000,1.018234491,0.024244929,-2.518949032,0.011340195,0.011342383,0.027058817,1.000000000,0.000123609,0.000193412,0.000063123,0.000000000,12.000000000,1778751617568731.000000000,1778751617560731.000000000,-0.032313384,-0.035182852,0.016757321,1.000000000,0.003752234,0.003754208,0.002889577
